Year,AMS_cdx
1,0.332300394773483
2,0.748415946960449
3,0.489434659481049
4,0.396699666976929
5,0.306579113006592
6,0.538109004497528
7,0.38816437125206
8,0.588859498500824
9,0.486743360757828
10,0.589936017990112
11,0.591089427471161
12,0.521961092948914
13,0.40538877248764
14,0.487204730510712
15,0.420767724514008
16,0.487512290477753
17,0.564099431037903
18,0.37601500749588
19,0.362020194530487
20,0.615618884563446
21,0.803857088088989
22,0.526267230510712
23,0.408003211021423
24,0.595011055469513
25,0.624077260494232
26,0.399237215518951
27,0.534725666046143
28,0.36863312125206
29,0.352177679538727
30,0.641916811466217
31,0.48489785194397
32,0.910433053970337
33,0.3783218562603
34,0.577632904052734
35,0.621001482009888
36,0.316498517990112
37,1.33858275413513
38,0.393393218517303
39,0.614849925041199
40,0.94088339805603
41,0.41246309876442
42,0.732037425041199
43,0.580401062965393
44,0.824311017990112
45,0.421382874250412
46,0.434301167726517
47,1.19309782981873
48,0.850147604942322
49,0.547490119934082
50,0.642839550971985
51,1.51113438606262
52,0.611466526985168
53,0.488742649555206
54,0.599778532981873
55,0.60223913192749
56,0.507504940032959
57,0.449372559785843
58,0.446604341268539
59,0.918737709522247
60,1.15218997001648
61,0.913508892059326
62,0.587475419044495
63,0.570250988006592
64,0.77140748500824
65,0.972563982009888
66,0.724655508995056
67,0.463213622570038
68,0.433686017990112
69,0.384473443031311
70,0.545644640922546
71,0.871062994003296
72,0.506889760494232
73,1.03592526912689
74,0.703740119934082
75,0.68036413192749
76,0.505044281482697
77,0.561023592948914
78,0.903051197528839
79,0.492125988006592
80,0.431225389242172
81,0.542568922042847
82,0.48351377248764
83,0.597317934036255
84,0.773868083953857
85,0.369094491004944
86,0.645300209522247
87,0.500738203525543
88,0.724655508995056
89,1.29429137706757
90,0.519808113574982
91,0.743110239505768
92,0.556102395057678
93,0.623154520988464
94,0.515501976013184
